dataset,categoria,split,etiqueta,tipo_defecto,archivo,mascara,origen
mvtec,bottle,train,normal,,train/good/000.png,,data/datasets/mvtec/bottle/train/good/000.png
mvtec,bottle,train,normal,,train/good/001.png,,data/datasets/mvtec/bottle/train/good/001.png
mvtec,bottle,train,normal,,train/good/002.png,,data/datasets/mvtec/bottle/train/good/002.png
mvtec,bottle,train,normal,,train/good/003.png,,data/datasets/mvtec/bottle/train/good/003.png
mvtec,bottle,train,normal,,train/good/004.png,,data/datasets/mvtec/bottle/train/good/004.png
mvtec,bottle,train,normal,,train/good/005.png,,data/datasets/mvtec/bottle/train/good/005.png
mvtec,bottle,train,normal,,train/good/006.png,,data/datasets/mvtec/bottle/train/good/006.png
mvtec,bottle,train,normal,,train/good/007.png,,data/datasets/mvtec/bottle/train/good/007.png
mvtec,bottle,train,normal,,train/good/008.png,,data/datasets/mvtec/bottle/train/good/008.png
mvtec,bottle,train,normal,,train/good/009.png,,data/datasets/mvtec/bottle/train/good/009.png
mvtec,bottle,train,normal,,train/good/010.png,,data/datasets/mvtec/bottle/train/good/010.png
mvtec,bottle,train,normal,,train/good/011.png,,data/datasets/mvtec/bottle/train/good/011.png
mvtec,bottle,train,normal,,train/good/012.png,,data/datasets/mvtec/bottle/train/good/012.png
mvtec,bottle,train,normal,,train/good/013.png,,data/datasets/mvtec/bottle/train/good/013.png
mvtec,bottle,train,normal,,train/good/014.png,,data/datasets/mvtec/bottle/train/good/014.png
mvtec,bottle,train,normal,,train/good/015.png,,data/datasets/mvtec/bottle/train/good/015.png
mvtec,bottle,train,normal,,train/good/016.png,,data/datasets/mvtec/bottle/train/good/016.png
mvtec,bottle,train,normal,,train/good/017.png,,data/datasets/mvtec/bottle/train/good/017.png
mvtec,bottle,train,normal,,train/good/018.png,,data/datasets/mvtec/bottle/train/good/018.png
mvtec,bottle,train,normal,,train/good/019.png,,data/datasets/mvtec/bottle/train/good/019.png
mvtec,bottle,train,normal,,train/good/020.png,,data/datasets/mvtec/bottle/train/good/020.png
mvtec,bottle,train,normal,,train/good/021.png,,data/datasets/mvtec/bottle/train/good/021.png
mvtec,bottle,train,normal,,train/good/022.png,,data/datasets/mvtec/bottle/train/good/022.png
mvtec,bottle,train,normal,,train/good/023.png,,data/datasets/mvtec/bottle/train/good/023.png
mvtec,bottle,train,normal,,train/good/024.png,,data/datasets/mvtec/bottle/train/good/024.png
mvtec,bottle,train,normal,,train/good/025.png,,data/datasets/mvtec/bottle/train/good/025.png
mvtec,bottle,train,normal,,train/good/026.png,,data/datasets/mvtec/bottle/train/good/026.png
mvtec,bottle,train,normal,,train/good/027.png,,data/datasets/mvtec/bottle/train/good/027.png
