dataset,categoria,train_good,train_anom,test_good,test_anom,ratio,tipos,reservado,huella
mvtec,bottle,209,21,20,42,0.1005,3,contamination,3041b7e1b5c3
mvtec,cable,224,22,58,70,0.0982,8,missing_wire,63fc7c8a3cd9
mvtec,carpet,280,28,28,61,0.1000,5,thread,22469c00047c
mvtec,grid,264,26,21,31,0.0985,5,broken,e96e58d965b0
mvtec,leather,245,24,32,68,0.0980,5,fold,43b1ce2f1d2d
mvtec,metal_nut,220,22,22,71,0.1000,4,color,5709c6b65e29
mvtec,screw,320,32,41,87,0.1000,5,thread_top,d60d1425a3a2
mvtec,tile,230,23,33,61,0.1000,5,oil,4096e4806ed2
mvtec,toothbrush,60,6,12,24,0.1000,1,-,a4d13cf64d4b
mvtec,transistor,213,21,60,19,0.0986,4,damaged_case,9eb0cfa4be9a
mvtec,wood,247,25,19,35,0.1012,5,hole,243a19d8f20e
mvtec,zipper,240,24,32,95,0.1000,7,combined,a0d96d9e8d63
visa,candle,600,60,400,40,0.1000,0,-,oficial:2cls_highshot
visa,pcb1,602,60,402,40,0.0997,0,-,oficial:2cls_highshot
visa,pcb2,601,60,400,40,0.0998,0,-,oficial:2cls_highshot
visa,pcb3,604,60,402,40,0.0993,0,-,oficial:2cls_highshot
visa,pcb4,603,60,402,40,0.0995,0,-,oficial:2cls_highshot
